skriva	(skriver, skrev, skrivit)	write	Sidan 10	Kapitel 1	Kapitel1 RivstartA1A2
namn	(-et, –, -en)	name	Sidan 10	Kapitel 1	Kapitel1 RivstartA1A2
land	(-et, länder, länderna)	country	Sidan 10	Kapitel 1	Kapitel1 RivstartA1A2
Colombia		Colombia	Sidan 10	Kapitel 1	Kapitel1 RivstartA1A2
Irland		Ireland	Sidan 10	Kapitel 1	Kapitel1 RivstartA1A2
franska		French	Sidan 10	Kapitel 1	Kapitel1 RivstartA1A2
presentera	(-r, -de, -t)	introduce	Sidan 11	Kapitel 1	Kapitel1 RivstartA1A2
varandra		each other	Sidan 11	Kapitel 1	Kapitel1 RivstartA1A2
hon		she	Sidan 11	Kapitel 1	Kapitel1 RivstartA1A2
han		he	Sidan 11	Kapitel 1	Kapitel1 RivstartA1A2
den		it	Sidan 11	Kapitel 1	Kapitel1 RivstartA1A2
vi		we	Sidan 11	Kapitel 1	Kapitel1 RivstartA1A2
ni		you	Sidan 11	Kapitel 1	Kapitel1 RivstartA1A2
de		they	Sidan 11	Kapitel 1	Kapitel1 RivstartA1A2
subjektspronomen		subject pronoun	Sidan 11	Kapitel 1	Kapitel1 RivstartA1A2
pronomen	(-et, –, -en)	pronoun	Sidan 11	Kapitel 1	Kapitel1 RivstartA1A2
säga	(säger, sa/sade, sagt)	say	Sidan 11	Kapitel 1	Kapitel1 RivstartA1A2
klass	(-en, -er, -erna)	class	Sidan 11	Kapitel 1	Kapitel1 RivstartA1A2
om		about	Sidan 11	Kapitel 1	Kapitel1 RivstartA1A2
arbeta	(-r, -de, -t)	work	Sidan 12	Kapitel 1	Kapitel1 RivstartA1A2
ingenjör	(-en, -er, -erna)	engineer	Sidan 12	Kapitel 1	Kapitel1 RivstartA1A2
läkare	(-n, –, läkarna)	doctor, physician	Sidan 12	Kapitel 1	Kapitel1 RivstartA1A2
tandläkare	(-n, –, tandläkarna)	dentist	Sidan 12	Kapitel 1	Kapitel1 RivstartA1A2
sjuksköterska	(-n, -or, -orna)	nurse	Sidan 12	Kapitel 1	Kapitel1 RivstartA1A2
busschaufför	(-en, -er, -erna)	bus driver	Sidan 12	Kapitel 1	Kapitel1 RivstartA1A2
frisör	(-en, -er, -erna)	hairdresser	Sidan 12	Kapitel 1	Kapitel1 RivstartA1A2
webbdesigner	(-n, webbdesigner, webbdesignerna)	web designer	Sidan 12	Kapitel 1	Kapitel1 RivstartA1A2
fotograf	(-en, -er, -erna)	photographer	Sidan 12	Kapitel 1	Kapitel1 RivstartA1A2
servitör	(-en, -er, -erna)	waiter, waitress	Sidan 12	Kapitel 1	Kapitel1 RivstartA1A2
kock	(-en, -ar, -arna)	chef	Sidan 12	Kapitel 1	Kapitel1 RivstartA1A2
nähä	(ugs)	I see	Sidan 12	Kapitel 1	Kapitel1 RivstartA1A2
göra	(gör, gjorde, gjort)	do, make	Sidan 12	Kapitel 1	Kapitel1 RivstartA1A2
