en (prounoun)	en	prounoun		<ul><li>one</li></ul>	det förargar en att höra sådant	it annoys one to hear that sort of thing	Kapitel_1 Rivstart_A1_A2
som (prounoun)	som	prounoun		<ul><li>who, whom</li></ul>	pojken som gick förbi är min bror	the boy who walked past is my brother	Kapitel_1 Rivstart_A1_A2
som (conjunction)	som	conjunction		<ul><li>as (also in comparisons)</li></ul>	han är lika gammal som sin fru	he is the same age as his wife	Kapitel_1 Rivstart_A1_A2
på (preposition)	på	preposition		<ul><li>on (expresses position)</li><li>in, during</li><li>of, at</li><li>after</li><li>in</li></ul>	på landet	in the country	Kapitel_1 Rivstart_A1_A2
för (preposition)	för	preposition		<ul><li>to (denotes intention or purpose)</li><li>for (denotes reason)</li><li>of, for</li><li>of (denotes context)</li><li>by</li><li>for</li><li>for (in some phrases)</li></ul>	böcker för barn	books for children	Kapitel_1 Rivstart_A1_A2
för (adverb)	för	adverb		<ul><li>too</li><li>in front of (denotes the position &quot;before&quot;)</li></ul>	för snål	too mean	Kapitel_1 Rivstart_A1_A2
för (conjunction)	för	conjunction		<ul><li>because</li></ul>	skynda dig nu, för klockan är mycket!	hurry up now, because it is late!	Kapitel_1 Rivstart_A1_A2
kunna (verb)	kunna	verb	att	<ul><li>can, know</li><li>can</li><li>can (indicates possible outcome, guess, etc.)</li></ul>	kan du simma?	can you swim?	Kapitel_1 Rivstart_A1_A2
skola (verb)	skola	verb		<ul><li>train, teach</li><li>shall, will</li><li>have to, shall, must</li></ul>	han skolades om till snickare	he was retrained as a carpenter	Kapitel_3 Rivstart_A1_A2
skola (noun)	skola	noun	en	<ul><li>school (also used of the education given at school)</li><li>school, college</li><li>school [of art]</li></ul>	en liten skola	a small school	Kapitel_3 Rivstart_A1_A2
jag (prounoun)	jag	prounoun		<ul><li>i (indicates the speaker or writer (first person))</li></ul>	såvitt jag vet	as far as I know	Kapitel_1 Rivstart_A1_A2
jag (noun)	jag	noun		<ul><li>ego</li></ul>	det egna jaget	one&#39;s true nature	Kapitel_1 Rivstart_A1_A2
inte (adverb)	inte	adverb		<ul><li>not</li></ul>	inte heller	[not] either	Kapitel_1 Rivstart_A1_A2
med (preposition)	med	preposition		<ul><li>with</li><li>for, about</li><li>with (in idiomatic expressions)</li></ul>	pannkakor med sylt	pancakes and jam	Kapitel_1 Rivstart_A1_A2
med (adverb)	med	adverb		<ul><li>with</li><li>too (informal)</li></ul>	vara med i en förening	belong to a society	Kapitel_1 Rivstart_A1_A2
till (preposition)	till	preposition		<ul><li>into, until, to</li><li>of, for, as</li><li>of, to</li></ul>	översätta till svenska	translate into Swedish	Kapitel_1 Rivstart_A1_A2
till (adverb)	till	adverb		<ul><li>another, more</li><li></li></ul>	ta en kaka till!	have another biscuit!	Kapitel_1 Rivstart_A1_A2
liten (adjective)	liten	adjective		<ul><li>small</li><li>short</li></ul>			Kapitel_3 Rivstart_A1_A2
den (prounoun)	den	prounoun		<ul><li>it, he, she</li><li>that</li></ul>	de klarade sig	they made it	Kapitel_1 Rivstart_A1_A2
om (preposition)	om	preposition		<ul><li>round (spatial)</li><li>by (temporal)</li><li>about, of</li><li>of</li></ul>	en halsduk om halsen	a scarf round one&#39;s neck	Kapitel_1 Rivstart_A1_A2
vi (prounoun)	vi	prounoun		<ul><li>we</li></ul>	han har sett oss	he has seen us	Kapitel_1 Rivstart_A1_A2
men (conjunction)	men	conjunction		<ul><li>but (indicates objection or restriction)</li></ul>	efter många om och men	after much beating about the bush	Kapitel_1 Rivstart_A1_A2
man (prounoun)	man	prounoun		<ul><li>one (indicates the indefinite)</li></ul>	om man så vill	if you like	Kapitel_1 Rivstart_A1_A2
man (noun)	man	noun	en	<ul><li>man</li><li>person (especially used of troops, teams, etc.)</li><li>husband</li><li>mane (figuratively, &quot;thick hair&quot;)</li></ul>	en ung man	a young man	Kapitel_1 Rivstart_A1_A2
de (prounoun)	de	prounoun		<ul><li>it, he, she</li><li>that</li></ul>			Kapitel_1 Rivstart_A1_A2
få (verb)	få	verb	att	<ul><li>receive, get</li><li>may</li><li>have to</li></ul>	få en helt annan uppfattning	get a completely different impression	Kapitel_2 Rivstart_A1_A2
få (adjective)	få	adjective		<ul><li>few</li></ul>			Kapitel_2 Rivstart_A1_A2
så (adverb)	så	adverb		<ul><li>so, thus</li><li>so</li><li>so (mostly used colloquially)</li></ul>	så kan det gå!	that&#39;s how it can turn out!	Kapitel_2 Rivstart_A1_A2
han (prounoun)	han	prounoun		<ul><li>he (indicates a male individual)</li></ul>	han kommer i morgon	he&#39;ll be arriving tomorrow	Kapitel_1 Rivstart_A1_A2
bli (verb)	bli	verb	att	<ul><li>become, get, be</li></ul>	en blivande skådespelare	an actor-to-be	Kapitel_2 Rivstart_A1_A2
komma (verb)	komma	verb	att	<ul><li>arrive, come</li><li>come (from)</li><li>will, be going to (only used in the phrase &quot;will&quot; &quot;(=shall)&quot;)</li><li>arouse, prompt</li></ul>	komma i tid	come in time	Kapitel_1 Rivstart_A1_A2
eller (conjunction)	eller	conjunction		<ul><li>or (indicates alternatives)</li></ul>	du eller jag måste gå	either you or I must go	Kapitel_1 Rivstart_A1_A2
från (preposition)	från	preposition		<ul><li>from (refers to a starting point in time and space)</li><li>from (states origin or extraction)</li><li>from (separating)</li></ul>	vara med från början	be involved from the beginning	Kapitel_1 Rivstart_A1_A2
mycket (adverb)	mycket	adverb		<ul><li>very much, greatly</li></ul>	en mycket stor del	a very great part	Kapitel_3 Rivstart_A1_A2
mycket (adjective)	mycket	adjective		<ul><li>much (non-neutral forms somewhat formal)</li></ul>			Kapitel_3 Rivstart_A1_A2
vilja (verb)	vilja	verb	att	<ul><li>want (also downtoned in exhortations)</li></ul>	jag vill inte gå och lägga mig	I don&#39;t want to go to bed	Kapitel_4 Rivstart_A1_A2
vilja (noun)	vilja	noun	en	<ul><li>will</li></ul>	en stark vilja	a strong will	Kapitel_4 Rivstart_A1_A2
göra (verb)	göra	verb	att	<ul><li>do</li><li>make</li><li>cause, make</li></ul>	vad gör du?	what are you doing?	Kapitel_1 Rivstart_A1_A2
annan (prounoun)	annan	prounoun		<ul><li>another, other, different, distinct; additional, further</li></ul>	bland annat	among other things, inter alia	Kapitel_1 Rivstart_A1_A2
ta (verb)	ta	verb	att	<ul><li>take, grab (also used figuratively)</li><li>touch</li><li>take</li><li>take, bring</li><li></li></ul>	ta tag i den oro och den stress man ser		Kapitel_3 Rivstart_A1_A2
när (adverb)	när	adverb		<ul><li>when (in questions)</li><li>near (in phrases)</li></ul>	när kommer tåget?	when is the train due?	Kapitel_3 Rivstart_A1_A2
se (verb)	se	verb	att	<ul><li>notice, watch, see</li><li>see, look</li><li>view, perceive, see</li></ul>	hon fick se en häst	she caught sight of a horse	Kapitel_1 Rivstart_A1_A2
måste (verb)	måste	verb		<ul><li>must</li><li>must (indicates probability)</li></ul>	jag måste ge mig iväg nu	now I must be off	Kapitel_4 Rivstart_A1_A2
måste (noun)	måste	noun	ett	<ul><li>must</li></ul>	det är ett måste	it&#39;s a must	Kapitel_4 Rivstart_A1_A2
stor (adjective)	stor	adjective		<ul><li>large, big (of age &quot;grown-up, adult&quot;)</li><li>great</li></ul>			Kapitel_3 Rivstart_A1_A2
nu (adverb)	nu	adverb		<ul><li>now</li><li>now (in a vague sense &quot;thus, accordingly&quot;)</li></ul>	redan nu	already, even now	Kapitel_1 Rivstart_A1_A2
gå (verb)	gå	verb	att	<ul><li>go, walk</li><li>run, progress, work</li><li>leave, begin</li><li>play, show, run</li><li>contain, comprise</li></ul>	gå ut och gå	go out for a walk	Kapitel_2 Rivstart_A1_A2
säga (verb)	säga	verb	att	<ul><li>say</li></ul>	säga nej till kärnkraft	say no to nuclear power	Kapitel_1 Rivstart_A1_A2
vad (prounoun)	vad	prounoun		<ul><li>what (used in questions)</li><li>what</li></ul>	vad kostar fisken?	how much is the fish?	Kapitel_1 Rivstart_A1_A2
vad (adverb)	vad	adverb		<ul><li>how (in exclamations, to denote a high degree)</li></ul>	vad snällt av dig!	how kind of you!	Kapitel_1 Rivstart_A1_A2
år (noun)	år	noun	ett	<ul><li>year</li></ul>	jag är 24 år gammal	I am 24 years old	Kapitel_1 Rivstart_A1_A2
under (preposition)	under	preposition		<ul><li>beneath, under, below, positioned below</li><li>beneath, under, positioned inside</li><li>during</li><li>under, in (of the circumstances surrounding something that is taking place)</li></ul>	sitta under ett träd	sit under a tree	Kapitel_3 Rivstart_A1_A2
betyda (verb)	betyda	verb	att	<ul><li>imply, signify, mean</li></ul>	han har betytt väldigt mycket för svensk film	he has meant a great deal for Swedish film	Kapitel_5 Rivstart_A1_A2
också (adverb)	också	adverb		<ul><li>too, also</li></ul>	inte bara jag utan också min fru spelar fiol	I play the violin and my wife does as well	Kapitel_1 Rivstart_A1_A2
då (adverb)	då	adverb		<ul><li>then, at that time</li><li>then</li></ul>	just då	at that time	Kapitel_1 Rivstart_A1_A2
min (prounoun)	min	prounoun		<ul><li>my</li></ul>	enligt min mening	in my opinion	Kapitel_1 Rivstart_A1_A2
mig (prounoun)	mig	prounoun		<ul><li>me, myself</li></ul>	jag satte mig på stolen	I sat myself down on the chair	Kapitel_6 Rivstart_A1_A2
mot (preposition)	mot	preposition		<ul><li>against (indicates opposition)</li><li>towards, (toward [us]) (indicates direction)</li><li>for (indicates exchange)</li><li>against, compared to (indicates comparison)</li><li>to (indicates treatment)</li></ul>	kämpa mot byråkratin	combat bureaucracy	Kapitel_9 Rivstart_A1_A2
bara (adverb)	bara	adverb		<ul><li>merely, only, just</li></ul>	av bara farten	automatically, unintentionally	Kaptiel_7 Rivstart_A1_A2
